mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004181718826293946,0.0011601078283905726,0.010259103775024415,0.0024556193538205645,1,1,"{'n_neighbors': 1, 'p': 1}",0.5463576158940397,0.5231788079470199,0.5264900662251656,0.5049833887043189,0.53156146179402,0.5265142681129127,0.013371142535882305,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.002178049087524414,0.001162342188740544,0.009013748168945313,0.0023999440491304803,1,2,"{'n_neighbors': 1, 'p': 2}",0.5562913907284768,0.4966887417218543,0.5298013245033113,0.5049833887043189,0.5481727574750831,0.5271875206266089,0.023312856454336027,99,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0045545101165771484,0.005811826677282054,0.008521413803100586,0.007567841252903037,2,1,"{'n_neighbors': 2, 'p': 1}",0.5927152317880795,0.5529801324503312,0.5529801324503312,0.574750830564784,0.6013289036544851,0.5749510461816022,0.01988386200811213,4,0.7487562189054726,0.7529021558872305,0.7603648424543947,0.7539353769676885,0.7464788732394366,0.7524874934908445,0.004782193336035493
0.0057071208953857425,0.00500639552786392,0.007611513137817383,0.0040682904375147775,2,2,"{'n_neighbors': 2, 'p': 2}",0.5993377483443708,0.5496688741721855,0.543046357615894,0.5681063122923588,0.5913621262458472,0.5703042837341312,0.022181165618775006,21,0.7346600331674958,0.7529021558872305,0.7562189054726368,0.7431648715824358,0.7398508699254349,0.7453593672070468,0.008055536414833931
0.003952836990356446,0.0010167408607167805,0.011793899536132812,0.0035064443718013875,3,1,"{'n_neighbors': 3, 'p': 1}",0.5629139072847682,0.5264900662251656,0.4900662251655629,0.5448504983388704,0.5581395348837209,0.5364920463796177,0.02642721587224417,97,0.7487562189054726,0.7728026533996684,0.7504145936981758,0.7613918806959403,0.7531068765534383,0.7572944446505391,0.008888902016796334
0.002887725830078125,0.0016272210585140852,0.018457412719726562,0.012770732990201242,3,2,"{'n_neighbors': 3, 'p': 2}",0.5728476821192053,0.4867549668874172,0.5132450331125827,0.5415282392026578,0.521594684385382,0.527194121141449,0.028813089095569115,98,0.7404643449419569,0.7562189054726368,0.75787728026534,0.7497928748964374,0.752278376139188,0.7513263563431117,0.006133397752271929
0.0022501468658447264,0.0011620880821099518,0.011942911148071288,0.0031343298058644402,4,1,"{'n_neighbors': 4, 'p': 1}",0.6026490066225165,0.5562913907284768,0.5198675496688742,0.5681063122923588,0.5681063122923588,0.563004114320917,0.02656917839111089,55,0.6915422885572139,0.7064676616915423,0.7097844112769486,0.6992543496271748,0.6909693454846727,0.6996036113275105,0.007621303434419376
0.002553558349609375,0.0032646774578582696,0.017045211791992188,0.0062573037987770095,4,2,"{'n_neighbors': 4, 'p': 2}",0.6026490066225165,0.5364238410596026,0.5331125827814569,0.5581395348837209,0.5514950166112956,0.5563639963917185,0.024929499403911804,81,0.6849087893864013,0.7131011608623549,0.7064676616915423,0.6843413421706711,0.6901408450704225,0.6957919598362785,0.011790455396849451
0.0026189804077148436,0.002982008082207982,0.012418985366821289,0.0022977434329727567,5,1,"{'n_neighbors': 5, 'p': 1}",0.5761589403973509,0.5695364238410596,0.4735099337748344,0.5514950166112956,0.5647840531561462,0.5470968735561372,0.037670558363226934,91,0.685737976782753,0.7155887230514096,0.7155887230514096,0.6901408450704225,0.6992543496271748,0.7012621235166339,0.012483717639742571
0.002199268341064453,0.001165634169108962,0.012459468841552735,0.0040501850847250095,5,2,"{'n_neighbors': 5, 'p': 2}",0.5761589403973509,0.5496688741721855,0.5,0.5149501661129569,0.5481727574750831,0.5377901476315153,0.02709548672188498,96,0.6915422885572139,0.7164179104477612,0.7089552238805971,0.6785418392709196,0.700082850041425,0.6991080224395833,0.013249589482204602
